Country Name,Year,Indicator Name,Value
Bhutan,2018,"Gross enrolment ratio, upper secondary, female (%)",74.97505
Bhutan,2017,"Gross enrolment ratio, upper secondary, female (%)",70.4171
Bhutan,2016,"Gross enrolment ratio, upper secondary, female (%)",66.63686
Bhutan,2015,"Gross enrolment ratio, upper secondary, female (%)",67.42741
Bhutan,2014,"Gross enrolment ratio, upper secondary, female (%)",68.21374
Bhutan,2013,"Gross enrolment ratio, upper secondary, female (%)",54.95561
Bhutan,2012,"Gross enrolment ratio, upper secondary, female (%)",47.28453
Bhutan,2011,"Gross enrolment ratio, upper secondary, female (%)",41.64015
Bhutan,2010,"Gross enrolment ratio, upper secondary, female (%)",39.772
Bhutan,2009,"Gross enrolment ratio, upper secondary, female (%)",35.62334
Bhutan,2008,"Gross enrolment ratio, upper secondary, female (%)",29.5484
Bhutan,2007,"Gross enrolment ratio, upper secondary, female (%)",27.75428
Bhutan,2006,"Gross enrolment ratio, upper secondary, female (%)",23.77526
Bhutan,2005,"Gross enrolment ratio, upper secondary, female (%)",21.84829
Bhutan,2001,"Gross enrolment ratio, upper secondary, female (%)",8.68522
Bhutan,2000,"Gross enrolment ratio, upper secondary, female (%)",4.95401
Bhutan,1999,"Gross enrolment ratio, upper secondary, female (%)",3.44469
Bhutan,1998,"Gross enrolment ratio, upper secondary, female (%)",2.37898
Bhutan,2018,"Gross enrolment ratio, upper secondary, male (%)",71.00349
Bhutan,2017,"Gross enrolment ratio, upper secondary, male (%)",69.04525
Bhutan,2016,"Gross enrolment ratio, upper secondary, male (%)",65.35335
Bhutan,2015,"Gross enrolment ratio, upper secondary, male (%)",69.13644
Bhutan,2014,"Gross enrolment ratio, upper secondary, male (%)",67.06347
Bhutan,2013,"Gross enrolment ratio, upper secondary, male (%)",55.64188
Bhutan,2012,"Gross enrolment ratio, upper secondary, male (%)",49.74308
Bhutan,2011,"Gross enrolment ratio, upper secondary, male (%)",46.23464
Bhutan,2010,"Gross enrolment ratio, upper secondary, male (%)",43.74387
Bhutan,2009,"Gross enrolment ratio, upper secondary, male (%)",40.99822
Bhutan,2008,"Gross enrolment ratio, upper secondary, male (%)",34.58002
Bhutan,2007,"Gross enrolment ratio, upper secondary, male (%)",36.18605
Bhutan,2006,"Gross enrolment ratio, upper secondary, male (%)",32.9895
Bhutan,2005,"Gross enrolment ratio, upper secondary, male (%)",31.73077
Bhutan,2001,"Gross enrolment ratio, upper secondary, male (%)",15.03381
Bhutan,2000,"Gross enrolment ratio, upper secondary, male (%)",9.8536
Bhutan,1999,"Gross enrolment ratio, upper secondary, male (%)",7.51459
Bhutan,1998,"Gross enrolment ratio, upper secondary, male (%)",5.51368